DiaMesAno,HoraMinutosSegundos,Latitude,Longitude,Velocidade,Altitude,Satelites,GyroX,GyroY,GyroZ,AccX,AccY
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.44,67.69,0.00,0.49,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.44,67.69,0.00,0.74,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.45,67.67,0.00,0.86,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.45,67.57,0.00,0.92,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.45,67.67,0.00,0.95,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.44,67.86,0.00,0.97,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.72,67.85,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.59,67.71,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.79,67.56,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.90,67.67,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.95,67.76,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.97,67.76,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.71,67.81,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.85,67.84,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.93,67.75,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.96,67.66,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.43,67.62,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.71,67.93,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.58,67.81,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.51,67.89,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.48,67.63,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.74,67.62,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.87,67.56,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.93,67.62,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.97,67.64,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.71,67.84,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.85,67.80,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.65,67.59,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.82,67.64,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.63,67.62,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.54,67.70,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.77,67.73,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.89,67.56,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.67,67.56,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.56,67.57,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-178.66,67.86,0.00,0.98,0.01
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-178.49,67.81,0.00,0.98,0.01
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.81,67.60,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.82,67.55,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.81,67.85,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.06,68.02,0.00,0.98,0.01
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.54,67.66,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.77,67.62,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.84,67.60,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.65,67.53,0.00,0.99,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.82,67.71,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.26,67.60,0.00,0.98,0.01
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.35,67.92,0.00,0.99,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.95,67.75,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.75,67.66,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.60,67.52,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.38,67.51,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.42,67.35,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,-179.98,67.32,0.00,0.98,0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.73,67.51,0.00,0.98,-0.00
2000-0-0,0-0-0,0.00000,0.00000,0.00,0.00,0,179.59,67.50,0.00,0.98,-0.00
