data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21127,-7.14089,-34.85075,0.13,0.00,0,-0.22,-0.04,0.92,33,-5,22
1692015,21127,-7.14089,-34.85075,0.13,0.00,0,-0.21,-0.04,0.93,33,-7,19
1692015,21127,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.92,29,-3,22
1692015,21127,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.92,31,-7,23
1692015,21128,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.92,30,-3,20
1692015,21128,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.92,29,-6,17
1692015,21128,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.92,32,-9,17
1692015,21128,-7.14089,-34.85075,0.13,53.50,9,-0.21,-0.04,0.91,25,-6,21
1692015,21128,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,30,-7,19
1692015,21128,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,34,-7,21
1692015,21128,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,30,-6,22
1692015,21128,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,35,-5,19
1692015,21129,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,29,-5,25
1692015,21129,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,26,-7,23
1692015,21129,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,30,-3,19
1692015,21129,-7.14089,-34.85075,0.09,53.50,9,-0.21,-0.04,0.92,26,-2,19
1692015,21129,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,31,-2,19
1692015,21129,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.91,24,-3,23
1692015,21129,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,31,-7,24
1692015,21129,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,29,-5,18
1692015,21130,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,30,-6,18
1692015,21130,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,30,-7,14
1692015,21130,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.93,28,-5,18
1692015,21130,-7.14089,-34.85075,0.02,53.50,9,-0.21,-0.04,0.92,27,-6,20
1692015,21130,-7.14089,-34.85075,0.07,53.50,9,-0.21,-0.04,0.91,24,-4,23
1692015,21130,-7.14089,-34.85075,0.07,53.50,9,-0.21,-0.04,0.92,28,-5,19
1692015,21130,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.92,29,-4,27
1692015,21130,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.92,30,-4,21
1692015,21131,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.92,29,-8,23
1692015,21131,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.93,30,-7,18
1692015,21131,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.92,31,-3,17
1692015,21131,-7.14089,-34.85075,0.07,53.60,9,-0.21,-0.04,0.93,31,-6,24
1692015,21131,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,26,0,16
1692015,21131,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,22,-4,16
1692015,21131,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,36,-8,26
1692015,21131,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,31,-4,23
1692015,21132,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,26,-8,14
1692015,21132,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,32,-5,22
1692015,21132,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,30,-6,18
1692015,21132,-7.14089,-34.85075,0.02,53.60,9,-0.21,-0.04,0.92,28,-4,15
